Cod_Nodo,Cod_Reporta_a_nodo,unidad,reporta_a,Cod_nodo2,EstructuraPrincipal,Gastos,RecursosHumanos,Jurisdiccion,Subjurisdiccion
A725,A603,"Subsecretaría de Promoción de las Exportaciones, las Inversiones, la Educación, la Ciencia y la Cultura",Secretaría de Relaciones Económicas Internacionales,A725,1,0,0,,
A726,A580,Subsecretaría de Protección de Derechos Humanos,Secretaría de Derechos Humanos,A726,1,0,0,,
A727,A610,Subsecretaría de Puertos y Vías Navegables,Secretaría de Transporte,A727,1,0,0,Ministerio de Transporte,Ente Nacional de Control y Gestión de la Vía Navegable
A728,A563,Subsecretaría de Recursos Acuáticos y Pesca,"Secretaría de Agricultura, Ganadería y Pesca",A728,1,0,0,,
A729,A597,Subsecretaría de Recursos Hídricos,Secretaría de Obras Públicas,A729,1,0,0,,
A730,A609,Subsecretaría de Reforma Estatal,Secretaría de Transformación del Estado y Función Pública,A730,1,0,0,,
A731,A607,Subsecretaría de Reformas Estructurales,Secretaría de Simplificación del Estado,A731,1,0,0,,
A732,A602,Subsecretaría de Relaciones con las Provincias,Secretaría de Provincias y Municipios,A732,1,0,0,,
A733,A602,Subsecretaría de Relaciones con los Municipios,Secretaría de Provincias y Municipios,A733,1,0,0,,
A734,A608,Subsecretaría de Relaciones del Trabajo,"Secretaría de Trabajo, Empleo y Seguridad Social",A734,1,0,0,,
A735,A585,Subsecretaría de Relaciones Financieras Internacionales,Secretaría de Finanzas,A735,1,0,0,,
A736,A562,Subsecretaría de Relaciones Sectoriales y Articulación,Secretaría de Acceso y Equidad en Salud,A736,1,0,0,,
A737,A608,Subsecretaría de Seguridad Social,"Secretaría de Trabajo, Empleo y Seguridad Social",A737,1,0,0,,
A738,A585,Subsecretaría de Servicios Financieros,Secretaría de Finanzas,A738,1,0,0,,
A739,A589,Subsecretaría de Tecnologías de la Información y las Comunicaciones,"Secretaría de Innovación, Ciencia y Tecnología",A739,1,0,0,,
A740,A583,Subsecretaría de Transición y Planeamiento Energético,Secretaría de Energía,A740,1,0,0,,
A741,A610,Subsecretaría de Transporte Aéreo,Secretaría de Transporte,A741,1,0,0,,
A742,A610,Subsecretaría de Transporte Automotor,Secretaría de Transporte,A742,1,0,0,,
A743,A610,Subsecretaría de Transporte Ferroviario,Secretaría de Transporte,A743,1,0,0,,
A744,A611,Subsecretaría de Turismo,"Secretaría de Turismo, Ambiente y Deportes",A744,1,0,0,Ministerio de Turismo y Deportes,Ministerio de Turismo y Deportes
A745,A567,"Subsecretaría de Vigilancia Epidemiológica, Información y Estadísticas de Salud",Secretaría de Calidad en Salud,A745,1,0,0,,
A746,A568,Subsecretaría de Vocería y Comunicación de Gobierno,Secretaría de Comunicación y Medios,A746,1,0,0,,
A747,A569,Subsecretaría Legal,Secretaría de Coordinación Administrativa,A747,1,0,0,,
A748,A573,Subsecretaría Legal,Secretaría de Coordinación Legal y Administrativa,A748,1,0,0,,
A749,A614,Subsecretaría Legal,Secretaría General de la Presidencia de la Nación,A749,1,0,0,,
A750,A615,Subsecretaría Legal,Secretaría Legal y Administrativa,A750,1,0,0,,
A751,A576,Subsecretaría Legal de Interior,Secretaría de Coordinación Legal y Administrativa de Interior,A751,1,0,0,,
A752,A616,Subsecretaría Técnica,Secretaría Legal y Técnica,A752,1,0,0,,
A753,A538,Superintendencia de Bienestar de la Policía Federal Argentina,Ministerio de Seguridad,A753,1,0,0,,
A754,A608,Superintendencia de Riesgos del Trabajo,"Secretaría de Trabajo, Empleo y Seguridad Social",A754,1,12601000000,796,Ministerio de Capital Humano,Superintendencia de Riesgos del Trabajo
A755,A534,Superintendencia de Seguros de la Nación,Ministerio de Economía,A755,1,30246000000,676,Ministerio de Economía,Superintendencia de Seguros de la Nación
A756,A537,Superintendencia de Servicios de Salud,Ministerio de Salud,A756,1,137711000000,1588,Ministerio de Salud,Superintendencia de Servicios de Salud
A757,A36,Supervisión de Auditoría Contable,Auditoría Interna Adjunta General,A757,1,0,0,,
A758,A36,Supervisión de Auditoría de Comunicación,Auditoría Interna Adjunta General,A758,1,0,0,,
A759,A36,Supervisión de Auditoría de Sistemas,Auditoría Interna Adjunta General,A759,1,0,0,,
A760,A36,Supervisión de Auditoría Legal,Auditoría Interna Adjunta General,A760,1,0,0,,
A761,A36,Supervisión de Auditoría Operativa,Auditoría Interna Adjunta General,A761,1,0,0,,
A762,A532,Talleres Navales Dársena Norte - TANDANOR S.A.C.I. y N.,Ministerio de Defensa,A762,1,0,0,,
A763,A579,Teatro Nacional Cervantes,Secretaría de Cultura,A763,1,9737000000,514,Ministerio de Cultura,Teatro Nacional Cervantes
A764,A233,Tribunal de Disciplina Policial,Dirección de Control Policial de la Policía de Seguridad Aeroportuaria,A764,1,0,0,,
A765,A597,Tribunal de Tasaciones de la Nación,Secretaría de Obras Públicas,A765,1,3105000000,156,Ministerio de Obras Públicas,Tribunal de Tasaciones de la Nación
A766,A686,Tribunal Fiscal de la Nación,Subsecretaría de Ingresos Públicos,A766,1,12360000000,258,Ministerio de Economía,Tribunal Fiscal de la Nación
A767,A532,Unidad de Auditoría Interna,Ministerio de Defensa,A767,1,0,0,,
A768,A535,Unidad de Auditoría Interna,Ministerio de Justicia,A768,1,0,0,,
A769,A538,Unidad de Auditoría Interna,Ministerio de Seguridad,A769,1,0,0,,
A770,A614,Unidad de Auditoría Interna,Secretaría General de la Presidencia de la Nación,A770,1,0,3690,,
A771,A535,Unidad de Información Financiera,Ministerio de Justicia,A771,1,11567000000,640,Ministerio de Economía,Unidad de Información Financiera
A772,A597,Unidad Ejecutora de la Obra de Soterramiento del Corredor Ferroviario Caballito-Moreno de la Línea Sarmiento,Secretaría de Obras Públicas,A772,1,0,0,,
A773,A531,Unidad Ejecutora del Programa Nacional de Inclusión Socio-Productiva y Desarrollo Local Potenciar Trabajo,Ministerio de Capital Humano,A773,1,0,0,,
A774,A588,Unidad Ejecutora del Régimen Nacional de Ventanilla Única de Comercio Exterior Argentino,Secretaría de Industria y Comercio,A774,1,0,0,,
A775,A534,Unidad Ejecutora Especial Temporaria 'Canal Magdalena',Ministerio de Economía,A775,1,0,0,,
A776,A13,Unidad Ejecutora Especial Temporaria 'Unidad Bienes Decomisados',Agencia de Administración de Bienes del Estado,A776,1,0,0,,
A777,A534,Unidad Ejecutora Especial Temporaria 'Unidad de Articulación Estratégica de Áreas Económicas y Productivas',Ministerio de Economía,A777,1,0,0,,
A778,A13,Unidad Ejecutora Especial Temporaria ‘Unidad de Grandes Proyectos Urbanos’,Agencia de Administración de Bienes del Estado,A778,1,0,0,,
A779,A534,Unidad Ejecutora Especial Temporaria 'Unidad de Implementación de la Obra Pública Ejecutada por Cooperativas de Trabajo de la Economía Popular',Ministerio de Economía,A779,1,0,0,,
A780,A534,Unidad Ejecutora Especial Temporaria 'Unidad de Relaciones Técnicas con el Fondo Monetario Internacional (FMI)',Ministerio de Economía,A780,1,0,0,,
A781,A663,Unidad Ejecutora Especial Temporaria 'Unidad Ejecutora del Programa Volver al Trabajo',Subsecretaría de Empleo y Formación Laboral,A781,1,0,0,,
A782,A536,Unidad Ejecutora Especial Temporaria 'UNIDAD G20',"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",A782,1,0,0,,
A783,A580,Unidad Ejecutora Especial Temporaria ‘Unidad para la Ejecución de la Sentencia de la Corte Interamericana de Derechos Humanos - Caso Comunidades Indígenas Miembros de la Asociación Lhaka Honhat (Nuestra Tierra) Vs. Argentina’,Secretaría de Derechos Humanos,A783,1,0,0,,
A784,A534,Unidad Ejecutora Especial Temporaria 'Unidad para la Internacionalización de la Economía del Conocimiento',Ministerio de Economía,A784,1,0,0,,
A785,A534,Unidad Ejecutora Especial Temporaria `Agencia de Transformación de Empresas Públicas’,Ministerio de Economía,A785,1,0,0,,
A786,A531,Unidad Ejecutora Especial Temporaria Fortalecimiento en la Infraestructura de Cuidados,Ministerio de Capital Humano,A786,1,0,0,,
A787,A583,Unidad Especial Sistema de Transmisión de Energía Eléctrica,Secretaría de Energía,A787,1,0,0,,
A788,A531,Unidad Gabinete de Asesores,Ministerio de Capital Humano,A788,1,0,0,,
A789,A532,Unidad Gabinete de Asesores,Ministerio de Defensa,A789,1,0,0,,
A790,A534,Unidad Gabinete de Asesores,Ministerio de Economía,A790,1,0,0,,
A791,A535,Unidad Gabinete de Asesores,Ministerio de Justicia,A791,1,0,0,,
A792,A536,Unidad Gabinete de Asesores,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",A792,1,0,0,,
A793,A537,Unidad Gabinete de Asesores,Ministerio de Salud,A793,1,0,0,,
A794,A538,Unidad Gabinete de Asesores,Ministerio de Seguridad,A794,1,0,0,,
A795,A568,Unidad Gabinete de Asesores,Secretaría de Comunicación y Medios,A795,1,0,0,,
A796,A614,Unidad Gabinete de Asesores,Secretaría General de la Presidencia de la Nación,A796,1,0,0,,
A797,A616,Unidad Gabinete de Asesores,Secretaría Legal y Técnica,A797,1,0,0,,
A798,A532,Universidad de la Defensa Nacional,Ministerio de Defensa,A798,1,0,0,,
A799,A589,Vehículo Espacial de Nueva Generación S.A.,"Secretaría de Innovación, Ciencia y Tecnología",A799,1,0,0,,
A800,A529,Vicejefatura de Gabinete del Interior,Jefatura de Gabinete de Ministros,A800,1,662941000000,1738,Jefatura de Gabinete de Ministros,Vicejefatura de Gabinete del Interior
A801,A529,Vicejefatura de Gabinete Ejecutiva,Jefatura de Gabinete de Ministros,A801,1,0,0,,
A802,A555,Vicepresidencia de la Nación,Presidencia de la Nación,A802,1,0,0,,
A803,A583,Yacimiento Carbonífero de Río Turbio y de los Servicios Ferroportuarios con Terminales en Punta Loyola y Río Gallegos,Secretaría de Energía,A803,1,0,0,,
A804,A596,Yacimientos Mineros Agua de Dionisio,Secretaría de Minería,A804,1,0,0,,
A805,A583,YPF Gas S.A.,Secretaría de Energía,A805,1,0,0,,
A806,A583,YPF S.A.,Secretaría de Energía,A806,1,0,0,,
A807,A529,Ministerio público,Jefatura de Gabinete de Ministros,A807,1,706602000000,10951,Ministerio Público,Ministerio Público
A590,A555,Agencia Federal de Inteligencia,Presidencia de la Nación,A590,1,197237000000,5,Presidencia de la Nación,Agencia Federal de Inteligencia
A9,A537,Agencia Nacional de Laboratorios Públicos (ANLAP),Ministerio de Salud,A9,,,,,
A44,A589,Banco Nacional de Datos Genéticos (BNDG),"Secretaría de Innovación, Ciencia y Tecnología",A44,,,,,
A46,A531,Biblioteca Nacional,Ministerio de Capital Humano,A46,,,,,
A59,A529,Comisión Nacional de Energía Atómica (CNEA),Jefatura de Gabinete de Ministros,A59,,,,,
A63,A610,Comisión Nacional de Regulación de Transporte,Secretaría de Transporte,A63,,,,,
A727,A610,Ente Nacional de Control y Gestión de la Vía Navegable,Secretaría de Transporte,A727,,,,,
A474,A532,Estado Mayor Conjunto de las Fuerzas Armadas (EMCO),Ministerio de Defensa,A474,,,,,
A482,A582,Fundación Miguel Lillio,Secretaría de Educación,A482,,,,,
A376,A724,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo",Subsecretaría de Promoción de Derechos Humanos,A376,,,,,
A563,A534,"Ministerio de Agricultura, Ganadería y Pesca",Ministerio de Economía,A563,,,,,
A680,A611,Ministerio de Ambiente y Desarrollo Sostenible,"Secretaría de Turismo, Ambiente y Deportes",A680,,,,,
A589,A529,"Ministerio de Ciencia, Tecnología e Innovación",Jefatura de Gabinete de Ministros,A589,,,,,
A579,A531,Ministerio de Cultura,Ministerio de Capital Humano,A579,,,,,
A399,A606,Ministerio de Desarrollo Productivo,Secretaría de Seguridad,A399,,,,,
A531,A555,Ministerio de Desarrollo Social,Presidencia de la Nación,A531,,,,,
A581,A534,Ministerio de Desarrollo Territorial y Hábitat,Ministerio de Economía,A581,,,,,
A582,A531,Ministerio de Educación,Ministerio de Capital Humano,A582,,,,,
A531,A555,"Ministerio de las Mujeres, Géneros y Diversidad",Presidencia de la Nación,A531,,,,,
A597,A534,Ministerio de Obras Públicas,Ministerio de Economía,A597,,,,,
A608,A531,"Ministerio de Trabajo, Empleo y Seguridad Social",Ministerio de Capital Humano,A608,,,,,
A610,A534,Ministerio de Transporte,Ministerio de Economía,A610,,,,,
A744,A611,Ministerio de Turismo y Deportes,"Secretaría de Turismo, Ambiente y Deportes",A744,,,,,
A576,A800,Ministerio del Interior,Vicejefatura de Gabinete del Interior,A691,,,,,
A557,A535,Obligaciones a Cargo del Tesoro,Ministerio de Justicia,A557,,,,,
A560,A800,Registro Nacional de las Personas (RENAPER),Vicejefatura de Gabinete del Interior,A560,,,,,
A601,A555,Secretaría de Comunicación y Prensa,Presidencia de la Nación,A601,,,,,
A687,A589,Secretaría de Innovación Pública,"Secretaría de Innovación, Ciencia y Tecnología",A687,,,,,
A601,A555,Secretaría de Medios y Comunicación Pública,Presidencia de la Nación,A601,,,,,
A600,A537,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR),Ministerio de Salud,A600,,,,,
A608,A531,Secretaría de Trabajo,Ministerio de Capital Humano,A608,,,,,
A82,A229,Servicio de la Deuda Pública,Dirección de Contabilidad,A82,,,,,
A487,A689,"Colonia Nacional ""Dr. Manuel A. Montes de Oca""",Subsecretaría de Institutos y Fiscalización,A487,,,,,
A20,A589,"Agencia Nac de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación","Secretaría de Innovación, Ciencia y Tecnología",A20,,,,,
A770,A614,Auditoría General de la Nación,Secretaría General de la Presidencia de la Nación,A770,,,,,
A46,A531,"Biblioteca Nacional ""Doctor Mariano Moreno""",Ministerio de Capital Humano,A46,,,,,
A47,A569,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal Argentina",Secretaría de Coordinación Administrativa,A47,,,,,
A487,A689,Hospital Nacional y Comunidad Dr. Ramón Carrillo,Subsecretaría de Institutos y Fiscalización,A487,,,,,
A500,A531,Instituto Nacional de Asociativismo y Economía Social (INAES),Ministerio de Capital Humano,A500,,,,,
A501,A800,Instituto Nacional de Asuntos Indigenas,Vicejefatura de Gabinete del Interior,A501,,,,,
A535,A555,Ministerio de Justicia y Derechos Humanos,Presidencia de la Nación,A535,,,,,
A582,A531,Secretaría de Educacion,Ministerio de Capital Humano,A582,,,,,
A771,A535,Unidad de Informacion Financiera,Ministerio de Justicia,A771,,,,,
