Cod_Nodo,Cod_Reporta_a_nodo,unidad,reporta_a,Cod_nodo2,EstructuraPrincipal,Gastos,RecursosHumanos,Jurisdiccion,Subjurisdiccion
A548,A610,Playas Ferroviarias de Buenos Aires S.A.,Secretaría de Transporte,A548,1,0,0,,
A549,,Poder Judicial de la Nación,,A549,1,1760505000000,26959,Poder Judicial de la Nación,Poder Judicial de la Nación
A550,,Poder Legislativo Nacional,,A550,1,594313000000,14402,Poder Legislativo Nacional,Poder Legislativo Nacional
A551,A538,Policía de Seguridad Aeroportuaria,Ministerio de Seguridad,A551,1,154287000000,5657,Ministerio de Seguridad,Policía de Seguridad Aeroportuaria
A552,A538,Policía Federal Argentina,Ministerio de Seguridad,A552,1,765110000000,32549,Ministerio de Seguridad,Policía Federal Argentina
A553,A588,Polo Tecnológico Constituyentes S.A.,Secretaría de Industria y Comercio,A553,1,0,0,,
A554,A538,Prefectura Naval Argentina,Ministerio de Seguridad,A554,1,594412000000,23103,Ministerio de Seguridad,Prefectura Naval Argentina
A555,,Presidencia de la Nación,,A555,1,0,0,,
A556,A555,Presidencia de la Nación,Presidencia de la Nación,A556,1,0,0,,
A557,A535,Procuración del Tesoro de la Nación,Ministerio de Justicia,A557,1,12137263000000,241,Ministerio de Justicia y Derechos Humanos,Procuración del Tesoro de la Nación
A558,A582,Radio de la Universidad Nacional del Litoral S.A.,Secretaría de Educación,A558,1,0,0,,
A559,A568,Radio y Televisión Argentina S.E.,Secretaría de Comunicación y Medios,A559,1,0,0,,
A560,A800,Registro Nacional de las Personas,Vicejefatura de Gabinete del Interior,A560,1,127667000000,4416,Ministerio del Interior,Registro Nacional de las Personas (RENAPER)
A561,A608,Registro Nacional de Trabajadores Rurales y Empleadores,"Secretaría de Trabajo, Empleo y Seguridad Social",A561,1,0,0,,
A562,A537,Secretaría de Acceso y Equidad en Salud,Ministerio de Salud,A562,1,0,0,,
A563,A534,"Secretaría de Agricultura, Ganadería y Pesca",Ministerio de Economía,A563,1,0,0,"Ministerio de Agricultura, Ganadería y Pesca","Ministerio de Agricultura, Ganadería y Pesca"
A564,A538,Secretaría de Articulación Federal,Ministerio de Seguridad,A564,1,0,0,,
A565,A529,Secretaría de Asuntos Estratégicos,Jefatura de Gabinete de Ministros,A565,1,0,0,,
